id,citation_count_without_self_citations,citation_count,number_of_pages,preprint_date,author_count,refereed,document_type,publication_type,number_of_references
470011,25,48,9.0,1998-05-01,3,True,article,research,16
467302,9,19,9.0,1998-02-01,4,True,article,research,22
471931,10,14,11.0,1998-06-01,4,True,article,research,7
470994,39,74,27.0,1998-05-01,3,True,article,research,51
472109,2,12,20.0,1998-06-01,1,True,article,research,46
470862,29,39,34.0,1998-05-01,4,True,article,research,37
471611,43,54,13.0,1998-06-01,5,True,conference paper,research,21
471645,49,72,32.0,1998-06-01,4,True,article,research,35
466322,3,11,14.0,1998-01-01,5,True,article,research,18
472033,14,15,9.0,1998-06-01,2,True,article,research,19
476299,3,19,15.0,1998-09-01,4,True,article,research,42
472283,4,4,11.0,1998-06-01,3,True,article,research,28
472704,25,36,19.0,1998-07-01,1,True,article,research,34
472706,18,37,13.0,1998-04-01,2,True,conference paper,research,21
472738,4,16,9.0,1998-07-01,4,True,article,research,25
473394,54,59,11.0,1998-07-01,2,True,article,research,32
473395,12,16,7.0,1998-04-01,1,True,conference paper,research,15
450307,31,36,4.0,1998-01-01,1,True,article,research,29
466077,58,63,12.0,1998-01-01,4,True,article,research,23
469323,37,46,36.0,1998-04-01,2,True,article,research,37
469419,72,85,22.0,1998-04-01,2,True,article,research,10
469053,43,51,14.0,1998-04-01,1,True,article,research,11
477894,2,2,14.0,1998-10-01,2,True,article,research,26
471168,117,151,36.0,1998-05-01,4,True,article,research,49
466135,79,110,22.0,1998-01-01,1,True,article,research,13
471465,13,13,13.0,1998-06-01,5,True,article,research,19
472945,53,72,63.0,1998-07-01,2,True,article,review,115
505340,0,0,16.0,1999-05-01,1,False,conference paper,lectures,33
505094,10,14,10.0,1999-08-01,1,False,conference paper,research,52
496934,0,0,8.0,1999-03-01,1,False,conference paper,research,10
506969,1,1,8.0,1999-05-01,1,False,conference paper,research,22
503984,0,0,9.0,1999-05-01,2,False,conference paper,research,27
